Feature,Block,Universe,Availability,Source,TemporalRule,Direction,Notes,PresentInTeamStore,PresentInHistoricalMatchups,PresentInStage2Matchups,InAnyCandidateSet,TargetDerivedPrior,RequiresFoldFittedPreprocessing
schedule__bad_losses,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__elite_wins,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__oowp,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__opponent_strength_mean,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__opponent_strength_median,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__opponent_strength_pct_mean,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__opponent_strength_std,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__owp,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__quality_win_points_mean,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__quality_win_points_sum,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__quality_wins,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__rpi,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__top_decile_games,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__top_quartile_games,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
schedule__wp,schedule_and_accomplishment,compact,common,regular-season opponent graph + independent margin rating,same-season regular season through DayNum 132,higher_is_stronger_except_bad_loss_penalty,,True,False,False,False,False,True
absdiff__norm__compact__margin_mean__pct,within_season_normalization,compact,common,norm__compact__margin_mean__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__compact__margin_mean__z,within_season_normalization,compact,common,norm__compact__margin_mean__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__compact__margin_trim02__pct,within_season_normalization,compact,common,norm__compact__margin_trim02__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__compact__margin_trim02__z,within_season_normalization,compact,common,norm__compact__margin_trim02__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__compact__win_pct__pct,within_season_normalization,compact,common,norm__compact__win_pct__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__compact__win_pct__z,within_season_normalization,compact,common,norm__compact__win_pct__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__bt_c1p0__pct,within_season_normalization,compact,common,norm__rating__bt_c1p0__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__bt_c1p0__z,within_season_normalization,compact,common,norm__rating__bt_c1p0__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__colley__pct,within_season_normalization,compact,common,norm__rating__colley__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__colley__z,within_season_normalization,compact,common,norm__rating__colley__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__elo_mov_538__pct,within_season_normalization,compact,common,norm__rating__elo_mov_538__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__elo_mov_538__z,within_season_normalization,compact,common,norm__rating__elo_mov_538__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,compact,common,norm__rating__margin_ridge_a25p0__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,compact,common,norm__rating__margin_ridge_a25p0__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__pagerank_margin__pct,within_season_normalization,compact,common,norm__rating__pagerank_margin__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__rating__pagerank_margin__z,within_season_normalization,compact,common,norm__rating__pagerank_margin__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,compact,common,norm__schedule__opponent_strength_mean__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__schedule__opponent_strength_mean__z,within_season_normalization,compact,common,norm__schedule__opponent_strength_mean__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,compact,common,norm__schedule__quality_win_points_sum__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__schedule__quality_win_points_sum__z,within_season_normalization,compact,common,norm__schedule__quality_win_points_sum__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__schedule__rpi__pct,within_season_normalization,compact,common,norm__schedule__rpi__pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__norm__schedule__rpi__z,within_season_normalization,compact,common,norm__schedule__rpi__z,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
diff__norm__compact__margin_mean__pct,within_season_normalization,compact,common,norm__compact__margin_mean__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__compact__margin_mean__z,within_season_normalization,compact,common,norm__compact__margin_mean__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__compact__margin_trim02__pct,within_season_normalization,compact,common,norm__compact__margin_trim02__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__compact__margin_trim02__z,within_season_normalization,compact,common,norm__compact__margin_trim02__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__compact__win_pct__pct,within_season_normalization,compact,common,norm__compact__win_pct__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__compact__win_pct__z,within_season_normalization,compact,common,norm__compact__win_pct__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__conference__strength_mean__pct,within_season_normalization,compact,common,norm__conference__strength_mean__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__conference__strength_mean__z,within_season_normalization,compact,common,norm__conference__strength_mean__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__bt_c1p0__pct,within_season_normalization,compact,common,norm__rating__bt_c1p0__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,compact,common,norm__rating__bt_c1p0__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__colley__pct,within_season_normalization,compact,common,norm__rating__colley__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__colley__z,within_season_normalization,compact,common,norm__rating__colley__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,compact,common,norm__rating__elo_mov_538__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,compact,common,norm__rating__elo_mov_538__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,compact,common,norm__rating__margin_ridge_a25p0__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,compact,common,norm__rating__margin_ridge_a25p0__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__pagerank_margin__pct,within_season_normalization,compact,common,norm__rating__pagerank_margin__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__rating__pagerank_margin__z,within_season_normalization,compact,common,norm__rating__pagerank_margin__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,compact,common,norm__schedule__opponent_strength_mean__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__schedule__opponent_strength_mean__z,within_season_normalization,compact,common,norm__schedule__opponent_strength_mean__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,compact,common,norm__schedule__quality_win_points_sum__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,compact,common,norm__schedule__quality_win_points_sum__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__schedule__rpi__pct,within_season_normalization,compact,common,norm__schedule__rpi__pct,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__norm__schedule__rpi__z,within_season_normalization,compact,common,norm__schedule__rpi__z,same-season regular season through DayNum 132,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
norm__compact__margin_mean__pct,within_season_normalization,compact,common,compact__margin_mean,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__compact__margin_mean__z,within_season_normalization,compact,common,compact__margin_mean,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__compact__margin_trim02__pct,within_season_normalization,compact,common,compact__margin_trim02,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__compact__margin_trim02__z,within_season_normalization,compact,common,compact__margin_trim02,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__compact__win_pct__pct,within_season_normalization,compact,common,compact__win_pct,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__compact__win_pct__z,within_season_normalization,compact,common,compact__win_pct,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__conference__strength_mean__pct,within_season_normalization,compact,common,conference__strength_mean,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__conference__strength_mean__z,within_season_normalization,compact,common,conference__strength_mean,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__bt_c1p0__pct,within_season_normalization,compact,common,rating__bt_c1p0,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__bt_c1p0__z,within_season_normalization,compact,common,rating__bt_c1p0,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__colley__pct,within_season_normalization,compact,common,rating__colley,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__colley__z,within_season_normalization,compact,common,rating__colley,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__elo_mov_538__pct,within_season_normalization,compact,common,rating__elo_mov_538,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__elo_mov_538__z,within_season_normalization,compact,common,rating__elo_mov_538,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__margin_ridge_a25p0__pct,within_season_normalization,compact,common,rating__margin_ridge_a25p0,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__margin_ridge_a25p0__z,within_season_normalization,compact,common,rating__margin_ridge_a25p0,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__pagerank_margin__pct,within_season_normalization,compact,common,rating__pagerank_margin,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__rating__pagerank_margin__z,within_season_normalization,compact,common,rating__pagerank_margin,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__schedule__opponent_strength_mean__pct,within_season_normalization,compact,common,schedule__opponent_strength_mean,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__schedule__opponent_strength_mean__z,within_season_normalization,compact,common,schedule__opponent_strength_mean,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__schedule__quality_win_points_sum__pct,within_season_normalization,compact,common,schedule__quality_win_points_sum,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__schedule__quality_win_points_sum__z,within_season_normalization,compact,common,schedule__quality_win_points_sum,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__schedule__rpi__pct,within_season_normalization,compact,common,schedule__rpi,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
norm__schedule__rpi__z,within_season_normalization,compact,common,schedule__rpi,same-season regular season through DayNum 132,higher_follows_source,,True,False,False,False,False,True
absdiff__detailed__all__def_rtg_ros,detailed_efficiency,rich,common,detailed__all__def_rtg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__defrtg_std,detailed_efficiency,rich,common,detailed__all__defrtg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__drb_pct_ros,detailed_efficiency,rich,common,detailed__all__drb_pct_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__efg_mean,detailed_efficiency,rich,common,detailed__all__efg_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__efg_median,detailed_efficiency,rich,common,detailed__all__efg_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__efg_ros,detailed_efficiency,rich,common,detailed__all__efg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__efg_std,detailed_efficiency,rich,common,detailed__all__efg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__efg_trim02,detailed_efficiency,rich,common,detailed__all__efg_trim02,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__ft_rate_ros,detailed_efficiency,rich,common,detailed__all__ft_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__ftmade_rate_ros,detailed_efficiency,rich,common,detailed__all__ftmade_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__ftmaderate_mean,detailed_efficiency,rich,common,detailed__all__ftmaderate_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__ftmaderate_median,detailed_efficiency,rich,common,detailed__all__ftmaderate_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__ftrate_std,detailed_efficiency,rich,common,detailed__all__ftrate_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__net_rtg_ros,detailed_efficiency,rich,common,detailed__all__net_rtg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__netrtg_std,detailed_efficiency,rich,common,detailed__all__netrtg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__off_rtg_ros,detailed_efficiency,rich,common,detailed__all__off_rtg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__offrtg_std,detailed_efficiency,rich,common,detailed__all__offrtg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__opp_efg_ros,detailed_efficiency,rich,common,detailed__all__opp_efg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__opp_ft_rate_ros,detailed_efficiency,rich,common,detailed__all__opp_ft_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__opp_ftmade_rate_ros,detailed_efficiency,rich,common,detailed__all__opp_ftmade_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__opp_tov_pct_ros,detailed_efficiency,rich,common,detailed__all__opp_tov_pct_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__oppefg_mean,detailed_efficiency,rich,common,detailed__all__oppefg_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__oppefg_median,detailed_efficiency,rich,common,detailed__all__oppefg_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__oppftmaderate_mean,detailed_efficiency,rich,common,detailed__all__oppftmaderate_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__oppftmaderate_median,detailed_efficiency,rich,common,detailed__all__oppftmaderate_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__orb_pct_ros,detailed_efficiency,rich,common,detailed__all__orb_pct_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__orbpct_std,detailed_efficiency,rich,common,detailed__all__orbpct_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__pace_ros,detailed_efficiency,rich,common,detailed__all__pace_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__tov_pct_ros,detailed_efficiency,rich,common,detailed__all__tov_pct_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__all__tovpct_std,detailed_efficiency,rich,common,detailed__all__tovpct_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__away__def_rtg_mean,detailed_efficiency,rich,common,detailed__away__def_rtg_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__away__net_rtg_mean,detailed_efficiency,rich,common,detailed__away__net_rtg_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__away__off_rtg_mean,detailed_efficiency,rich,common,detailed__away__off_rtg_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__away__pace_mean,detailed_efficiency,rich,common,detailed__away__pace_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__def_rtg_ros,detailed_efficiency,rich,common,detailed__clean__def_rtg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__defrtg_std,detailed_efficiency,rich,common,detailed__clean__defrtg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__drb_pct_ros,detailed_efficiency,rich,common,detailed__clean__drb_pct_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__efg_mean,detailed_efficiency,rich,common,detailed__clean__efg_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__efg_median,detailed_efficiency,rich,common,detailed__clean__efg_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__efg_ros,detailed_efficiency,rich,common,detailed__clean__efg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__efg_std,detailed_efficiency,rich,common,detailed__clean__efg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__efg_trim02,detailed_efficiency,rich,common,detailed__clean__efg_trim02,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__ft_rate_ros,detailed_efficiency,rich,common,detailed__clean__ft_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__ftmade_rate_ros,detailed_efficiency,rich,common,detailed__clean__ftmade_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__ftmaderate_mean,detailed_efficiency,rich,common,detailed__clean__ftmaderate_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__ftmaderate_median,detailed_efficiency,rich,common,detailed__clean__ftmaderate_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__ftrate_std,detailed_efficiency,rich,common,detailed__clean__ftrate_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__net_rtg_ros,detailed_efficiency,rich,common,detailed__clean__net_rtg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__netrtg_std,detailed_efficiency,rich,common,detailed__clean__netrtg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__off_rtg_ros,detailed_efficiency,rich,common,detailed__clean__off_rtg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__offrtg_std,detailed_efficiency,rich,common,detailed__clean__offrtg_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__opp_efg_ros,detailed_efficiency,rich,common,detailed__clean__opp_efg_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__opp_ft_rate_ros,detailed_efficiency,rich,common,detailed__clean__opp_ft_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__opp_ftmade_rate_ros,detailed_efficiency,rich,common,detailed__clean__opp_ftmade_rate_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__opp_tov_pct_ros,detailed_efficiency,rich,common,detailed__clean__opp_tov_pct_ros,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__oppefg_mean,detailed_efficiency,rich,common,detailed__clean__oppefg_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__detailed__clean__oppefg_median,detailed_efficiency,rich,common,detailed__clean__oppefg_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
